"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PLM00012375","OKECIE, PL","2018-12-20","0.02","0.8","27","28","25"
"PLM00012375","OKECIE, PL","2018-12-21","0.15","2.0","34","37","27"
"PLM00012375","OKECIE, PL","2018-12-22","0.13",,"40",,"34"
"PLM00012375","OKECIE, PL","2018-12-23","0.11",,"37",,"34"
"PLM00012375","OKECIE, PL","2018-12-24","0.13",,"33","41",
"PLM00012375","OKECIE, PL","2018-12-25","0.02","0.4","33",,
"PLM00012375","OKECIE, PL","2018-12-26","0.06",,"39",,
"PLM00012375","OKECIE, PL","2018-12-27","0.03",,"41",,
"PLM00012375","OKECIE, PL","2018-12-28","0.10",,"42","44",
"PLM00012375","OKECIE, PL","2018-12-29","0.04",,"39",,"38"
"PLM00012375","OKECIE, PL","2018-12-30","0.04",,"40","42","38"
"PLM00012375","OKECIE, PL","2018-12-31","0.17",,"38","41",
"PLM00012375","OKECIE, PL","2019-01-01","0.00",,"39",,
"PLM00012375","OKECIE, PL","2019-01-02","0.19",,"34","40",
"PLM00012375","OKECIE, PL","2019-01-03","0.08","0.4","29","32",
"PLM00012375","OKECIE, PL","2019-01-04","0.00",,"27",,"21"
"PLM00012375","OKECIE, PL","2019-01-05","0.15","1.6","33",,"29"
"PLM00012375","OKECIE, PL","2019-01-06","0.12","0.8","24","32",
"PLM00012375","OKECIE, PL","2019-01-07","0.00","0.8","20",,
"PLM00012375","OKECIE, PL","2019-01-08","0.00","0.8","27",,
"PLM00012375","OKECIE, PL","2019-01-09","0.07","2.0","27","31",
"PLM00012375","OKECIE, PL","2019-01-10","0.03","2.8","20","25",
"PLM00012375","OKECIE, PL","2019-01-11","0.00","3.1","20",,"13"
"PLM00012375","OKECIE, PL","2019-01-12","0.02","3.1","34",,"27"
"PLM00012375","OKECIE, PL","2019-01-13","0.02","2.4","36","38",
"PLM00012375","OKECIE, PL","2019-01-14","0.22",,"34","39",
"PLM00012375","OKECIE, PL","2019-01-15","0.03","0.4","32",,"27"
"PLM00012375","OKECIE, PL","2019-01-16","0.15","0.8","38","41","31"
"PLM00012375","OKECIE, PL","2019-01-17","0.02",,"39",,"35"
"PLM00012375","OKECIE, PL","2019-01-18","0.00",,"34","42",
"PLM00012375","OKECIE, PL","2019-01-19","0.00",,"27",,
"PLM00012375","OKECIE, PL","2019-01-20","0.00",,"25",,"17"
"PLM00012375","OKECIE, PL","2019-01-21","0.00",,"27","29","23"
"PLM00012375","OKECIE, PL","2019-01-22","0.00",,"25",,
"PLM00012375","OKECIE, PL","2019-01-23","0.00",,"24","27","19"
"PLM00012375","OKECIE, PL","2019-01-24","0.00",,"23",,"21"
"PLM00012375","OKECIE, PL","2019-01-25","0.03","1.2","21",,
"PLM00012375","OKECIE, PL","2019-01-26","0.04","1.6","23",,
"PLM00012375","OKECIE, PL","2019-01-27","0.00","1.6","27",,
"PLM00012375","OKECIE, PL","2019-01-28","0.00","1.2","32","37",
"PLM00012375","OKECIE, PL","2019-01-29","0.03","1.2","34","38",
"PLM00012375","OKECIE, PL","2019-01-30","0.00","0.8","31","34",
"PLM00012375","OKECIE, PL","2019-01-31","0.04","0.8","33",,
"PLM00012375","OKECIE, PL","2019-02-01","0.08","1.2","32",,
"PLM00012375","OKECIE, PL","2019-02-02","0.05","0.4","43",,"32"
"PLM00012375","OKECIE, PL","2019-02-03","0.00",,"38","47","35"
"PLM00012375","OKECIE, PL","2019-02-04","0.30","0.8","33","39",
"PLM00012375","OKECIE, PL","2019-02-05","0.05","1.2","32","34",
"PLM00012375","OKECIE, PL","2019-02-06","0.00","1.2","34",,
"PLM00012375","OKECIE, PL","2019-02-07","0.00","0.8","33",,
"PLM00012375","OKECIE, PL","2019-02-08","0.00",,"37","45",
"PLM00012375","OKECIE, PL","2019-02-09","0.00",,"37",,
"PLM00012375","OKECIE, PL","2019-02-10","0.00",,"42",,"36"
"PLM00012375","OKECIE, PL","2019-02-11","0.09",,"40",,
"PLM00012375","OKECIE, PL","2019-02-12","0.09",,"34","40",
"PLM00012375","OKECIE, PL","2019-02-13","0.00",,"35",,
"PLM00012375","OKECIE, PL","2019-02-14","0.06",,"42",,"38"
"PLM00012375","OKECIE, PL","2019-02-15","0.00",,"42",,
"PLM00012375","OKECIE, PL","2019-02-16","0.00",,"37",,
"PLM00012375","OKECIE, PL","2019-02-17","0.00",,"43","48","28"
